date,event_id,venue,city,state,show_set,time,song,isong,next_set,Nevents,ievent,break_length
1965-12-18,16,The Big Beat Club,Palo Alto,CA,Set 1,,Good Lovin',5,,1,1,long
1966-01-07,20,Matrix,San Francisco,CA,Set 1,,It's All Over Now Baby Blue,18,,1,1,long
1966-01-08,21,Fillmore Auditorium,San Francisco,CA,Set 1,,Star Spangled Banner,24,,1,1,long
1966-01-13,22,Matrix,San Francisco,CA,Set 1,,Hog For You Baby,26,,1,1,long
1966-01-28,28,Matrix,San Francisco,CA,Set 1,,You Don't Have To Ask,27,Set 2,1,1,long
1966-01-28,28,Matrix,San Francisco,CA,Set 2,,Midnight Hour,30,,1,1,long
1966-02-06,30,Valley Unitarian Universalist Church,North Hills,CA,Set 1,,The Only Time Is Now,35,,1,1,long
1966-02-12,32,Youth Opportunities Center,Compton,CA,Set 1,,Twist And Shout,39,,1,1,long
1966-03-02,35,Bear's House,Los Angeles,CA,Set 1,,Stealin',41,,1,1,long
1966-03-12,40,Danish Center,Los Angeles,CA,Set 1,21:00:00.000,Midnight Hour,52,,1,1,long
1966-03-19,41,Carthay Studios,Los Angeles,CA,Set 1,20:00:00.000,Viola Lee Blues,53,,1,1,long
1966-03-25,43,Trouper's Club,Los Angeles,CA,Set 1,21:00:00.000,Next Time You See Me,60,,1,1,long
1966-04-22,44,Longshoreman's Hall,San Francisco,CA,Set 1,21:00:00.000,Good Morning Little Schoolgirl,64,,1,1,long
1966-04-24,46,Longshoreman's Hall,San Francisco,CA,Set 1,21:00:00.000,Blues Jam,70,,1,1,long
1966-05-07,47,"Harmon Gym, UC Berkeley",Berkeley,CA,Set 1,21:00:00.000,Midnight Hour,71,,1,1,long
1966-05-19,49,Avalon Ballroom,San Francisco,CA,Set 1,20:30:00.000,Cream Puff War,80,Set 2,1,1,long
1966-05-19,49,Avalon Ballroom,San Francisco,CA,Set 2,20:30:00.000,You Don't Have To Ask,88,,1,1,long
1966-05-29,53,California Hall,San Francisco,CA,Set 1,21:00:00.000,Dancin' In The Streets,89,,1,1,long
1966-06-03,56,Fillmore Auditorium,San Francisco,CA,Set 1,,Mindbender,90,,1,1,long
1966-07-01,66,Fillmore Auditorium,San Francisco,CA,Set,,Dancin' In The Streets,96,,1,1,long
1966-07-03,67,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,105,Set 2,1,1,long
1966-07-03,67,Fillmore Auditorium,San Francisco,CA,Set 2,,Midnight Hour,115,,1,1,long
1966-07-15,71,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,117,,1,1,long
1966-07-16,72,Fillmore Auditorium,San Francisco,CA,Set 1,,Cream Puff War,127,Set 2,1,1,long
1966-07-16,72,Fillmore Auditorium,San Francisco,CA,Set 2,,Dancin' In The Streets,137,Encore,1,1,short
1966-07-16,72,Fillmore Auditorium,San Francisco,CA,Encore,,Midnight Hour,138,,1,1,long
1966-07-17,73,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,149,,1,1,long
1966-07-29,75,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Cream Puff War,159,Set 2,1,1,long
1966-07-29,75,P.N.E. Garden Auditorium,Vancouver,BC,Set 2,,Good Morning Little Schoolgirl,162,,1,1,long
1966-07-30,76,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Minglewood Blues,171,,1,1,long
1966-07-31,77,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Tastebud,174,,1,1,long
1966-09-01,87,House Party Cabin,Loma Mar,CA,Set,,Midnight Hour,175,,1,1,long
1966-09-02,88,La Dolphine,Hillsborough,CA,Set 1,,The Butcher Is Back,182,Set 2,1,1,long
1966-09-02,88,La Dolphine,Hillsborough,CA,Set 2,,Prankster Electronics,187,,1,1,long
1966-09-11,92,Fillmore Auditorium,San Francisco,CA,Set 1,,Midnight Hour,189,,1,1,long
1966-10-02,99,"Commons, San Francisco State University",San Francisco,CA,Set 1,,Sound Collage,205,,1,1,long
1966-10-23,113,"Gymnasium, Las Lomas High School",Walnut Creek,CA,Set 1,15:00:00.000,Good Morning Little Schoolgirl,206,,1,1,long
1966-10-31,119,California Hall,San Francisco,CA,Set 1,,Alice D. Millionaire,208,,1,1,long
1966-11-19,134,Fillmore Auditorium,San Francisco,CA,Set 1,,Dancin' In The Streets,216,Set 2,1,1,long
1966-11-19,134,Fillmore Auditorium,San Francisco,CA,Set 2,,Midnight Hour,219,,1,1,long
1966-11-29,139,Matrix,San Francisco,CA,Set 1,,Cream Puff War,220,Set 2,1,1,long
1966-11-29,139,Matrix,San Francisco,CA,Set 2,,Viola Lee Blues,228,Set 3,1,1,long
1966-11-29,139,Matrix,San Francisco,CA,Set 3,,I Just Want To Make Love To You,231,,1,1,long
1966-12-01,141,Matrix,San Francisco,CA,Set 1,,Cream Puff War,240,Set 2,1,1,long
1966-12-01,141,Matrix,San Francisco,CA,Set 2,,Viola Lee Blues,249,Set 3,1,1,long
1966-12-01,141,Matrix,San Francisco,CA,Set 3,,Me And My Uncle,256,,1,1,long
1966-12-23,150,Avalon Ballroom,San Francisco,CA,Set 1,,Dancin' In The Streets,262,Encore,1,1,short
1966-12-23,150,Avalon Ballroom,San Francisco,CA,Encore,,Midnight Hour,263,,1,1,long
1966-12-24,151,Avalon Ballroom,San Francisco,CA,Set 1,,Midnight Hour,270,,1,1,long
1966-12-28,152,Governor's Hall,Sacramento,CA,Set 1,,Death Don't Have No Mercy,271,,1,1,long
1967-01-14,160,"Polo Field, Golden Gate Park",San Francisco,CA,Show,,Good Morning Little Schoolgirl,274,,1,1,long
1967-03-18,187,Winterland,San Francisco,CA,Set 1,,Dancin' In The Streets,282,Set 2,1,1,long
1967-03-18,187,Winterland,San Francisco,CA,Set 2,,Death Don't Have No Mercy,288,,1,1,long
1967-04-09,201,"Panhandle, Golden Gate Park",San Francisco,CA,Set 1,,Unknown Blues Song,293,,1,1,long
1967-04-12,204,Fillmore Auditorium,San Francisco,CA,Set 1,,Viola Lee Blues,295,,1,1,long
1967-04-28,208,Stockton Ballroom,Stockton,CA,Set 1,,Cream Puff War,298,,1,1,long
1967-04-29,209,Earl Warren Showgrounds,Santa Barbara,CA,Set 1,,Viola Lee Blues,299,,1,1,long
1967-05-12,217,Marigold Ballroom,Fresno,CA,Set,21:45:00.000,Viola Lee Blues,302,,1,1,long
1967-05-18,220,"Awalt Pavilion, Chester F. Awalt High School",Mountain View,CA,Set 1,15:15:00.000,Good Morning Little Schoolgirl,304,,1,1,long
1967-05-29,227,"Chardonnay Hall, Napa County Fairgrounds",Napa,CA,Set 1,,Good Morning Little Schoolgirl,308,,1,1,long
1967-06-01,229,Tompkins Square Park,New York,NY,Show,,Viola Lee Blues,316,,1,1,long
1967-06-06,236,Café au Go-Go,New York,NY,Set 1,,It's All Over Now Baby Blue,329,,1,1,long
1967-06-07,237,Café au Go-Go,New York,NY,Set 1,,Viola Lee Blues,330,,1,1,long
1967-06-18,249,Monterey County Fairgrounds,Monterey,CA,Set 1,,Caution,334,,1,1,long
1967-06-21,251,"Polo Field, Golden Gate Park",San Francisco,CA,Set 1,,Alligator,336,,1,1,long
1967-06-28,253,Oakland Auditorium,Oakland,CA,Set 1,,Good Morning Little Schoolgirl,337,,1,1,long
1967-07-02,254,El Camino Park,Palo Alto,CA,Set 1,,Dancin' In The Streets,339,,1,1,long
1967-07-03,5408,Fillmore Auditorium,San Francisco,CA,Set 1,,Sitting On Top Of The World,346,,1,1,long
1967-07-18,261,Masonic Temple,Portland,OR,Set 1,,Turn On Your Lovelight,348,,1,1,long
1967-07-22,263,Continental Ballroom,Santa Clara,CA,Set 1,,Midnight Hour,354,,1,1,long
1967-07-23,264,Straight Theater,San Francisco,CA,Set 1,,Turn On Your Lovelight,357,,1,1,long
1967-07-31,265,O'Keefe Centre,Toronto,ON,Set 1,,Good Morning Little Schoolgirl,358,,1,1,long
1967-08-04,271,O'Keefe Centre,Toronto,ON,Set 1,,Lindy,362,,1,1,long
1967-08-05,272,O'Keefe Centre,Toronto,ON,Set 1,,I Know You Rider,365,,2,1,long
1967-08-05,273,O'Keefe Centre,Toronto,ON,Set 1,,Alligator,367,,2,2,long
1967-08-06,274,Place Ville Marie,Montreal,QC,Set 1,,Dancin' In The Streets,373,Encore,2,1,short
1967-08-06,274,Place Ville Marie,Montreal,QC,Encore,,Gloria,374,,2,1,long
1967-08-06,275,"Youth Pavilion, Expo '67",Montreal,QC,Set 1,,Viola Lee Blues,375,,2,2,long
1967-08-19,281,American Legion Hall,South Lake Tahoe,CA,Set 1,,Turn On Your Lovelight,378,,1,1,long
1967-08-28,285,"Lindley Meadow, Golden Gate Park",San Francisco,CA,Set 1,13:00:00.000,Good Morning Little Schoolgirl,380,,1,1,long
1967-09-03,287,Dance Hall,Rio Nido,CA,Set 1,,Midnight Hour,389,,1,1,long
1967-09-04,288,Dance Hall,Rio Nido,CA,Set 1,,Feedback,391,,1,1,long
1967-09-15,292,Hollywood Bowl,Hollywood,CA,Set 1,,Feedback,399,,1,1,long
1967-09-29,299,Straight Theater,San Francisco,CA,Set 1,,He Was A Friend Of Mine,404,,1,1,long
1967-09-30,300,Straight Theater,San Francisco,CA,Set 1,21:00:00.000,Viola Lee Blues,405,Set 2,1,1,long
1967-09-30,300,Straight Theater,San Francisco,CA,Set 2,21:00:00.000,Feedback,408,,1,1,long
1967-10-01,301,"William Randolph Hearst Greek Theatre, UC Berkeley",Berkeley,CA,Set 1,13:00:00.000,Feedback,410,,1,1,long
1967-10-14,302,Continental Ballroom,Santa Clara,CA,Set 1,,Caution,416,,1,1,long
1967-10-22,304,Winterland,San Francisco,CA,Set 1,,Cryptical Envelopment,425,,1,1,long
1967-10-31,305,Winterland,San Francisco,CA,Set 1,,Viola Lee Blues,426,,1,1,long
1967-11-10,306,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,Feedback,440,,1,1,long
1967-11-11,307,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,Caution,451,,1,1,long
1967-12-08,313,Psychedelic Supermarket,Boston,MA,Set 1,21:00:00.000,Midnight Hour,452,,1,1,long
1967-12-26,319,Village Theater,New York,NY,Set 1,,Cold Rain And Snow,455,,1,1,long
1967-12-27,320,Village Theater,New York,NY,Set 1,,Viola Lee Blues,458,,1,1,long
1968-01-17,325,Carousel Ballroom,San Francisco,CA,Set 1,20:30:00.000,Spanish Jam,467,Set 2,1,1,long
1968-01-17,325,Carousel Ballroom,San Francisco,CA,Set 2,20:30:00.000,Good Morning Little Schoolgirl,473,,1,1,long
1968-01-20,326,Eureka Municipal Auditorium,Eureka,CA,Set 1,21:00:00.000,Dark Star,483,,1,1,long
1968-01-26,327,Eagles Auditorium,Seattle,WA,Set 1,20:00:00.000,Feedback,496,,1,1,long
1968-01-27,328,Eagles Auditorium,Seattle,WA,Set 1,20:00:00.000,Hurts Me Too,510,,1,1,long
1968-01-30,330,"EMU Ballroom, University of Oregon",Eugene,OR,Set 1,20:00:00.000,Gloria,515,,1,1,long
1968-02-02,331,Crystal Ballroom,Portland,OR,Set 1,,Dark Star,523,,1,1,long
1968-02-03,332,Crystal Ballroom,Portland,OR,Set 1,,Feedback,535,,1,1,long
1968-02-14,334,Carousel Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,541,Set 2,1,1,long
1968-02-14,334,Carousel Ballroom,San Francisco,CA,Set 2,,Feedback,552,Encore,1,1,short
1968-02-14,334,Carousel Ballroom,San Francisco,CA,Encore,,Midnight Hour,553,,1,1,long
1968-02-17,337,Selland Arena,Fresno,CA,Set 1,,Turn On Your Lovelight,555,,1,1,long
1968-02-22,338,Kings Beach Bowl,Lake Tahoe,CA,Set 1,08:30:00.000,Caution,562,,1,1,long
1968-02-23,339,Kings Beach Bowl,Lake Tahoe,CA,Set 1,08:30:00.000,Spanish Jam,572,,1,1,long
1968-02-24,340,Kings Beach Bowl,Lake Tahoe,CA,Set 1,08:30:00.000,Feedback,585,,1,1,long
1968-03-02,342,Clifford's Catering,Walnut Creek,CA,Set 1,20:00:00.000,Turn On Your Lovelight,587,,1,1,long
1968-03-03,343,Haight Street,San Francisco,CA,Set 1,,Dancin' In The Streets,595,,1,1,long
1968-03-08,344,Melodyland Theatre,Anaheim,CA,Set 1,,China Cat Sunflower,596,,1,1,long
1968-03-11,347,Sacramento Memorial Auditorium,Sacramento,CA,Set 1,19:30:00.000,Caution Jam,602,,1,1,long
1968-03-16,349,Carousel Ballroom,San Francisco,CA,Set 1,,Good Morning Little Schoolgirl,606,Set 2,1,1,long
1968-03-16,349,Carousel Ballroom,San Francisco,CA,Set 2,,And We Bid You Good Night,615,,1,1,long
1968-03-17,350,Carousel Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,618,Set 2,1,1,long
1968-03-17,350,Carousel Ballroom,San Francisco,CA,Set 2,,Feedback,626,,1,1,long
1968-03-20,352,Avalon Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,629,,1,1,long
1968-03-29,357,Carousel Ballroom,San Francisco,CA,Set 1,,Born Cross-Eyed,640,,1,1,long
1968-03-30,358,Carousel Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,648,Set 2,1,1,long
1968-03-30,358,Carousel Ballroom,San Francisco,CA,Set 2,,Death Don't Have No Mercy,652,,1,1,long
1968-03-31,359,Carousel Ballroom,San Francisco,CA,Set 1,,And We Bid You Good Night,658,,1,1,long
1968-04-03,360,Winterland,San Francisco,CA,Set 1,,Caution,665,,1,1,long
1968-04-21,367,Thee Image,Miami,FL,Set 1,,Alligator,667,,1,1,long
1968-05-03,371,"Ferris Booth Hall terrace, Columbia University",New York,NY,Set 1,,Cryptical Envelopment,671,,1,1,long
1968-05-04,372,"Pritchard Gym, S.U.N.Y.",Stony Brook,NY,Set 1,20:30:00.000,Good Morning Little Schoolgirl,672,,1,1,long
1968-05-05,373,Central Park,New York,NY,Set 1,,Turn On Your Lovelight,679,,1,1,long
1968-05-09,379,Electric Circus,New York,NY,Set 1,22:30:00.000,He Was A Friend Of Mine,680,,1,1,long
1968-05-17,382,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,Morning Dew,681,,1,1,long
1968-05-18,383,Santa Clara County Fairgrounds,San Jose,CA,Set 1,,Feedback,686,,1,1,long
1968-05-24,388,National Guard Armory,St. Louis,MO,Set 1,20:30:00.000,The Other One,689,,1,1,long
1968-05-25,389,National Guard Armory,St. Louis,MO,Set 1,20:30:00.000,Cryptical Envelopment,694,,1,1,long
1968-06-07,396,Carousel Ballroom,San Francisco,CA,Set 1,21:00:00.000,Dark Star,696,,1,1,long
1968-06-14,406,Fillmore East,New York,NY,Set 1,,New Potato Caboose,701,,2,1,long
1968-06-14,407,Fillmore East,New York,NY,Set 1,,Feedback,711,,2,2,long
1968-06-15,410,Fillmore East,New York,NY,Set 1,,The Other One,713,,1,1,long
1968-06-19,412,Carousel Ballroom,San Francisco,CA,Set 1,,Dancin' In The Streets,715,,1,1,long
1968-08-04,423,Orange County Fairgrounds,Costa Mesa,CA,Set 1,,Feedback,718,,1,1,long
1968-08-20,425,Fillmore West,San Francisco,CA,Set 1,,Death Don't Have No Mercy,722,,1,1,long
1968-08-21,426,Fillmore West,San Francisco,CA,Set 1,,Feedback,729,Set 2,1,1,long
1968-08-21,426,Fillmore West,San Francisco,CA,Set 2,,Turn On Your Lovelight,734,Encore,1,1,short
1968-08-21,426,Fillmore West,San Francisco,CA,Encore,,Midnight Hour,735,,1,1,long
1968-08-22,427,Fillmore West,San Francisco,CA,Set 1,,Death Don't Have No Mercy,738,Set 2,1,1,long
1968-08-22,427,Fillmore West,San Francisco,CA,Set 2,,And We Bid You Good Night,749,,1,1,long
1968-08-23,428,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,Feedback,761,,1,1,long
1968-08-24,429,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,Turn On Your Lovelight,771,Encore,1,1,short
1968-08-24,429,Shrine Exhibition Hall,Los Angeles,CA,Encore,,Morning Dew,772,,1,1,long
1968-09-01,434,Fillmore West,San Francisco,CA,Set 1,,Turn On Your Lovelight,777,Set 2,1,1,long
1968-09-01,434,Fillmore West,San Francisco,CA,Set 2,,Good Morning Little Schoolgirl,778,,1,1,long
1968-09-02,435,Betty Nelson's Organic Raspberry Farm,Sultan,WA,Set 1,,Feedback,791,,1,1,long
1968-09-20,442,Berkeley Community Theater,Berkeley,CA,Set 1,,Drums,795,,1,1,long
1968-09-22,444,Del Mar Fairgrounds,Del Mar,CA,Set 1,,Midnight Hour,804,,1,1,long
1968-10-11,459,Avalon Ballroom,San Francisco,CA,Set 1,21:00:00.000,Morning Dew,805,,1,1,long
1968-10-12,463,Avalon Ballroom,San Francisco,CA,Set 1,21:00:00.000,Death Don't Have No Mercy,809,Set 2,1,1,long
1968-10-12,463,Avalon Ballroom,San Francisco,CA,Set 2,21:00:00.000,Feedback,818,,1,1,long
1968-10-13,465,Avalon Ballroom,San Francisco,CA,Set 1,21:00:00.000,Death Don't Have No Mercy,822,Set 2,1,1,long
1968-10-13,465,Avalon Ballroom,San Francisco,CA,Set 2,21:00:00.000,Feedback,831,,1,1,long
1968-10-20,470,"William Randolph Hearst Greek Theatre, UC Berkeley",Berkeley,CA,Set 1,13:00:00.000,Feedback,838,,1,1,long
1968-11-01,476,Silver Dollar Fairgrounds,Chico,CA,Set 2,,And We Bid You Good Night,850,,1,1,long
1968-11-10,483,Fillmore West,San Francisco,CA,Set 1,,Morning Dew,851,,1,1,long
1968-11-15,484,"Gill Coliseum, Oregon State University",Corvallis,OR,Set 1,,Morning Dew,852,,1,1,long
1968-11-22,490,Veterans Memorial Hall,Columbus,OH,Set 1,,And We Bid You Good Night,864,,1,1,long
1968-11-27,494,Kinetic Playground,Chicago,IL,Set 1,,Turn On Your Lovelight,871,,1,1,long
1968-11-29,496,Hyde Park Teen Center,Cincinnati,OH,Set 1,19:30:00.000,New Potato Caboose,876,,1,1,long
1968-11-30,498,Hyde Park Teen Center,Cincinnati,OH,Set 1,22:00:00.000,Turn On Your Lovelight,880,,1,1,long
1968-12-01,499,Grande Ballroom,Detroit,MI,Set 1,,And We Bid You Good Night,881,,1,1,long
1968-12-07,501,"Knight's Hall, Bellarmine College",Louisville,KY,Set 1,21:30:00.000,New Potato Caboose,891,Set 2,1,1,long
1968-12-07,501,"Knight's Hall, Bellarmine College",Louisville,KY,Set 2,21:30:00.000,And We Bid You Good Night,896,,1,1,long
1968-12-13,503,The Bank,Torrance,CA,Set 1,,Turn On Your Lovelight,897,,1,1,long
1968-12-20,509,Shrine Exhibition Hall,Los Angeles,CA,Set 1,12:00:00.000,Morning Dew,902,,1,1,long
1968-12-21,510,Shrine Exhibition Hall,Los Angeles,CA,Set 1,,And We Bid You Good Night,913,,1,1,long
1968-12-28,514,Catacombs,Houston,TX,Set 1,,The Eleven,921,,1,1,long
1968-12-29,515,Gulfstream Park Racetrack,Hallandale,FL,Set 1,,And We Bid You Good Night,930,,1,1,long
1968-12-31,516,Winterland,San Francisco,CA,Set 1,21:00:00.000,Turn On Your Lovelight,935,,1,1,long
1969-01-03,518,Fillmore West,San Francisco,CA,Set 1,,Mountains Of The Moon,943,,1,1,long
1969-01-05,520,Fillmore West,San Francisco,CA,Set 1,,Turn On Your Lovelight,949,,1,1,long
1969-01-17,525,"Robertson Gym, UC Santa Barbara",Goleta,CA,Set 1,20:30:00.000,Cosmic Charlie,959,,1,1,long
1969-01-24,530,Avalon Ballroom,San Francisco,CA,Set 1,,Doin' That Rag,967,Set 2,1,1,long
1969-01-24,530,Avalon Ballroom,San Francisco,CA,Set 2,,Drums,970,,1,1,long
1969-01-25,531,Avalon Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,974,Set 2,1,1,long
1969-01-25,531,Avalon Ballroom,San Francisco,CA,Set 2,,And We Bid You Good Night,983,,1,1,long
1969-01-26,532,Avalon Ballroom,San Francisco,CA,Set 1,,Death Don't Have No Mercy,989,Set 2,1,1,long
1969-01-26,532,Avalon Ballroom,San Francisco,CA,Set 2,,Turn On Your Lovelight,993,,1,1,long
1969-02-02,535,Labor Temple,Minneapolis,MN,Set 1,,Turn On Your Lovelight,1003,,1,1,long
1969-02-04,537,The Music Box,Omaha,NE,Set 1,20:00:00.000,And We Bid You Good Night,1018,,1,1,long
1969-02-05,538,Soldiers & Sailors Memorial Hall,Kansas City,KS,Set 1,,And We Bid You Good Night,1028,,1,1,long
1969-02-06,539,Kiel Auditorium,St. Louis,MO,Set 1,,And We Bid You Good Night,1041,,1,1,long
1969-02-07,540,Stanley Theatre,Pittsburgh,PA,Set 1,,Turn On Your Lovelight,1045,,2,1,long
1969-02-07,541,Stanley Theatre,Pittsburgh,PA,Set 1,,And We Bid You Good Night,1056,,2,2,long
1969-02-11,544,Fillmore East,New York,NY,Set 1,,Turn On Your Lovelight,1063,Encore,2,1,short
1969-02-11,544,Fillmore East,New York,NY,Encore,,Hey Jude,1064,,2,1,long
1969-02-11,545,Fillmore East,New York,NY,Set 1,,And We Bid You Good Night,1073,Encore,2,2,short
1969-02-11,545,Fillmore East,New York,NY,Encore,,Cosmic Charlie,1074,,2,2,long
1969-02-12,547,Fillmore East,New York,NY,Set 1,,And We Bid You Good Night,1084,,1,1,long
1969-02-14,548,Electric Factory,Philadelphia,PA,Set 1,,Turn On Your Lovelight,1089,Set 2,1,1,long
1969-02-14,548,Electric Factory,Philadelphia,PA,Set 2,,Death Don't Have No Mercy,1095,,1,1,long
1969-02-15,549,Electric Factory,Philadelphia,PA,Set 1,,Turn On Your Lovelight,1102,Set 2,1,1,long
1969-02-15,549,Electric Factory,Philadelphia,PA,Set 2,,And We Bid You Good Night,1115,,1,1,long
1969-02-19,551,Fillmore West,San Francisco,CA,Set 1,,Turn On Your Lovelight,1118,Set 2,1,1,long
1969-02-19,551,Fillmore West,San Francisco,CA,Set 2,,The Other One Jam,1122,,1,1,long
1969-02-21,552,Dream Bowl,Vallejo,CA,Set 1,,Turn On Your Lovelight,1128,Encore,1,1,short
1969-02-21,552,Dream Bowl,Vallejo,CA,Encore,,Morning Dew,1129,,1,1,long
1969-02-22,553,Dream Bowl,Vallejo,CA,Set 1,,Death Don't Have No Mercy,1137,Set 2,1,1,long
1969-02-22,553,Dream Bowl,Vallejo,CA,Set 2,,Turn On Your Lovelight,1141,,1,1,long
1969-02-27,557,Fillmore West,San Francisco,CA,Set 1,,Cryptical Envelopment,1147,Set 2,1,1,long
1969-02-27,557,Fillmore West,San Francisco,CA,Set 2,,Turn On Your Lovelight,1153,Encore,1,1,short
1969-02-27,557,Fillmore West,San Francisco,CA,Encore,,Cosmic Charlie,1154,,1,1,long
1969-02-28,558,Fillmore West,San Francisco,CA,Set 1,,Turn On Your Lovelight,1159,Set 2,1,1,long
1969-02-28,558,Fillmore West,San Francisco,CA,Set 2,,And We Bid You Good Night,1173,,1,1,long
1969-03-01,559,Fillmore West,San Francisco,CA,Set 1,,Cosmic Charlie,1179,Set 2,1,1,long
1969-03-01,559,Fillmore West,San Francisco,CA,Set 2,,Turn On Your Lovelight,1185,Encore,1,1,short
1969-03-01,559,Fillmore West,San Francisco,CA,Encore,,Hey Jude,1186,,1,1,long
1969-03-02,560,Fillmore West,San Francisco,CA,Set 1,,Turn On Your Lovelight,1190,Set 2,1,1,long
1969-03-02,560,Fillmore West,San Francisco,CA,Set 2,,And We Bid You Good Night,1203,,1,1,long
1969-03-15,563,Hilton Hotel,San Francisco,CA,Set 1,21:00:00.000,Turn On Your Lovelight,1209,,1,1,long
1969-03-22,566,Rose Palace,Pasadena,CA,Set 1,,Turn On Your Lovelight,1214,,1,1,long
1969-03-28,568,"Student Center, Modesto Jr. College",Modesto,CA,Set 1,,Cryptical Envelopment,1224,,1,1,long
1969-03-29,569,Ice Palace,Las Vegas,NV,Set 1,20:00:00.000,Turn On Your Lovelight,1231,,1,1,long
1969-04-04,574,Avalon Ballroom,San Francisco,CA,Set 1,,Death Don't Have No Mercy,1238,Set 2,1,1,long
1969-04-04,574,Avalon Ballroom,San Francisco,CA,Set 2,,Feedback,1243,,1,1,long
1969-04-05,575,Avalon Ballroom,San Francisco,CA,Set 1,,Turn On Your Lovelight,1249,Set 2,1,1,long
1969-04-05,575,Avalon Ballroom,San Francisco,CA,Set 2,,And We Bid You Good Night,1264,,1,1,long
1969-04-06,576,Avalon Ballroom,San Francisco,CA,Set 1,,I'm A King Bee,1268,Set 2,1,1,long
1969-04-06,576,Avalon Ballroom,San Francisco,CA,Set 2,,Turn On Your Lovelight,1274,Encore,1,1,short
1969-04-06,576,Avalon Ballroom,San Francisco,CA,Encore,,Viola Lee Blues,1275,,1,1,long
1969-04-11,577,"University Auditorium, University of Arizona",Tucson,AZ,Set 1,20:00:00.000,Hard To Handle,1282,Set 2,1,1,long
1969-04-11,577,"University Auditorium, University of Arizona",Tucson,AZ,Set 2,20:00:00.000,Turn On Your Lovelight,1288,,1,1,long
1969-04-12,579,"Student Union Ballroom, University of Utah",Salt Lake City,UT,Set 1,22:00:00.000,Cryptical Envelopment,1296,Set 2,1,1,long
1969-04-12,579,"Student Union Ballroom, University of Utah",Salt Lake City,UT,Set 2,22:00:00.000,Feedback,1301,,1,1,long
1969-04-13,580,"Ballroom, University of Colorado",Boulder,CO,Set 1,20:30:00.000,Death Don't Have No Mercy,1309,Set 2,1,1,long
1969-04-13,580,"Ballroom, University of Colorado",Boulder,CO,Set 2,20:30:00.000,Caution,1313,,1,1,long
1969-04-15,581,The Music Box,Omaha,NE,Set 1,,Turn On Your Lovelight,1322,Set 2,1,1,long
1969-04-15,581,The Music Box,Omaha,NE,Set 2,,It's All Over Now Baby Blue,1332,,1,1,long
1969-04-17,582,"Quadrangle, Washington University",St. Louis,MO,Set 1,,Caution,1345,,1,1,long
1969-04-18,583,"Memorial Union Ballroom, Purdue University",Lafayette,IN,Set 1,20:00:00.000,Beat It On Down The Line,1357,,1,1,long
1969-04-20,584,"Atwood Hall, Clark University",Worcester,MA,Set 1,,Turn On Your Lovelight,1365,Encore,1,1,short
1969-04-20,584,"Atwood Hall, Clark University",Worcester,MA,Encore,,Mountains Of The Moon,1367,,1,1,long
1969-04-21,585,The Ark,Boston,MA,Set 1,,Doin' That Rag,1378,Set 2,1,1,long
1969-04-21,585,The Ark,Boston,MA,Set 2,,Turn On Your Lovelight,1383,Encore,1,1,short
1969-04-21,585,The Ark,Boston,MA,Encore,,Feedback,1385,,1,1,long
1969-04-22,586,The Ark,Boston,MA,Set 1,,Death Don't Have No Mercy,1395,Set 2,1,1,long
1969-04-22,586,The Ark,Boston,MA,Set 2,,Turn On Your Lovelight,1403,,1,1,long
1969-04-23,587,The Ark,Boston,MA,Set 1,,Turn On Your Lovelight,1414,Set 2,1,1,long
1969-04-23,587,The Ark,Boston,MA,Set 2,,And We Bid You Good Night,1425,Encore,1,1,short
1969-04-23,587,The Ark,Boston,MA,Encore,,It's All Over Now Baby Blue,1426,,1,1,long
1969-04-25,588,Kinetic Playground,Chicago,IL,Set 1,19:30:00.000,Turn On Your Lovelight,1432,,1,1,long
1969-04-26,589,Kinetic Playground,Chicago,IL,Set 1,19:30:00.000,Turn On Your Lovelight,1452,Encore,1,1,short
1969-04-26,589,Kinetic Playground,Chicago,IL,Encore,19:30:00.000,And We Bid You Good Night,1459,,1,1,long
1969-04-27,590,Labor Temple,Minneapolis,MN,Set 1,,Turn On Your Lovelight,1466,Encore,1,1,short
1969-04-27,590,Labor Temple,Minneapolis,MN,Encore,,Morning Dew,1467,,1,1,long
1969-05-02,591,Winterland,San Francisco,CA,Set 1,,Death Don't Have No Mercy,1471,,1,1,long
1969-05-03,592,Sierra College,Rocklin,CA,Set 1,,Beat It On Down The Line,1475,,2,1,long
